타차, 150, 53
나파, 161, 65
하나, 190, 44
가다, 162, 69
바타, 163, 50
바차, 187, 96
라하, 194, 60
가하, 169, 43
타나, 189, 67
라마, 193, 93
타아, 153, 87
하차, 145, 75
타자, 175, 66
라카, 147, 52
마바, 181, 46
마카, 172, 72
카가, 177, 85
나나, 164, 75
아라, 158, 57
타차, 152, 86
타라, 189, 94
아마, 184, 90
라아, 162, 97
타가, 199, 81
마가, 189, 86
자차, 175, 46
타마, 167, 58
차자, 190, 93
사바, 199, 92
가하, 184, 50
나라, 182, 81
나타, 147, 65
자라, 197, 66
타하, 189, 89
자나, 166, 66
가아, 165, 84
라파, 161, 81
자마, 168, 58
타하, 155, 96
자아, 189, 52
아사, 154, 48
카다, 161, 77
라바, 186, 55
하사, 147, 57
하바, 189, 97
가가, 151, 81
자카, 165, 85
아사, 152, 74
하자, 168, 90
하카, 146, 53
아자, 169, 58
아차, 186, 81
다사, 158, 70
자파, 192, 85
아라, 194, 72
사자, 155, 74
나차, 172, 46
마가, 155, 43
하사, 171, 96
나라, 195, 99
바나, 191, 85
아다, 184, 44
가라, 158, 91
가가, 168, 97
마나, 181, 99
라파, 163, 76
나하, 167, 68
파가, 196, 40
바하, 185, 60
가차, 186, 87
사하, 190, 55
가아, 186, 87
타마, 151, 93
자바, 171, 44
라카, 191, 92
하하, 153, 61
타차, 157, 97
자사, 174, 64
하파, 197, 73
카가, 143, 73
아다, 169, 89
차카, 175, 66
파카, 161, 70
나하, 192, 56
바나, 144, 68
카마, 179, 64
카라, 193, 52
카차, 168, 97
사타, 178, 49
라라, 163, 82
가타, 151, 76
자타, 174, 47
사타, 144, 66
자아, 159, 67
아자, 179, 91
차라, 158, 79
차자, 181, 95
다가, 158, 82
아라, 147, 59
하아, 168, 56
파타, 189, 93
바마, 179, 50
바가, 184, 68
다자, 152, 51
차사, 191, 70
파라, 142, 60
마타, 155, 79
나가, 152, 69
아차, 148, 61
바차, 146, 78
자차, 154, 92
가나, 170, 51
다마, 196, 74
자가, 152, 51
마나, 141, 45
바다, 188, 83
하마, 186, 98
자다, 172, 50
라차, 192, 79
아나, 158, 95
자하, 144, 99
자가, 152, 72
차타, 156, 53
아아, 147, 71
바마, 141, 40
사타, 195, 97
라나, 186, 72
카아, 145, 74
자아, 145, 84
카마, 181, 96
사다, 145, 60
카마, 151, 70
라타, 163, 86
가자, 146, 75
가나, 192, 78
카사, 173, 51
마하, 184, 84
자라, 151, 68
차다, 185, 86
다자, 178, 86
나사, 153, 41
차사, 195, 90
마타, 178, 94
하파, 190, 89
가바, 167, 76
마가, 177, 77
아카, 188, 76
파마, 143, 81
파가, 180, 56
파나, 182, 74
라파, 150, 83
마바, 186, 49
파타, 182, 45
가마, 192, 73
라자, 193, 53
카마, 143, 57
차바, 174, 47
아하, 198, 55
라파, 158, 64
다아, 157, 57
나다, 172, 58
아라, 146, 63
카하, 194, 41
파파, 153, 45
차파, 186, 81
파자, 179, 51
타바, 170, 83
나아, 165, 50
자다, 174, 45
타차, 193, 80
타사, 161, 55
나자, 181, 98
하파, 186, 74
라사, 195, 40
파다, 181, 74
사마, 186, 72
자타, 180, 65
하라, 173, 96
하바, 161, 70
파나, 184, 47
나아, 145, 57
다다, 172, 57
하마, 146, 46
다나, 166, 98
바파, 142, 80
라자, 158, 42
사나, 147, 84
가차, 159, 47
차라, 161, 62
하아, 188, 61
자사, 160, 46
마아, 146, 43
카파, 156, 98
자아, 177, 70
자타, 189, 78
아라, 142, 42
다아, 150, 80
라가, 162, 42
마다, 145, 45
파차, 184, 52
자라, 170, 91
카바, 149, 47
하타, 159, 68
나라, 161, 84
라나, 176, 97
차바, 199, 50
파마, 175, 74
다자, 181, 76
마카, 142, 82
가사, 143, 40
가차, 182, 68
사마, 144, 75
사나, 147, 42
파바, 174, 61
가하, 141, 53
카라, 168, 79
파마, 160, 47
하다, 144, 83
나마, 165, 90
자가, 198, 77
다자, 190, 84
가가, 159, 58
다차, 148, 45
바라, 156, 81
하사, 167, 52
라라, 163, 73
차하, 155, 70
가아, 191, 77
카가, 160, 85
카바, 190, 65
차다, 158, 59
나타, 150, 71
카마, 149, 73
나마, 163, 73
다마, 144, 73
차마, 199, 69
하하, 193, 74
차타, 176, 47
자자, 176, 94
차자, 160, 40
마라, 194, 60
아마, 147, 63
타마, 168, 46
하하, 178, 59
카라, 147, 46
차가, 197, 45
나타, 171, 71
차라, 171, 98
마하, 146, 72
카차, 174, 56
하다, 141, 97
차가, 149, 40
타가, 143, 87
라파, 175, 85
나아, 181, 54
나가, 149, 44
파바, 189, 70
가바, 149, 84
마파, 169, 99
카라, 154, 99
가파, 172, 58
